user_id,age,gender,country,city,signup_date,income_level,preferred_category,loyalty_tier
8826d916-cdfb-41c6-81ff-91a761565a70,18,Female,US,Changchester,2026-02-05,medium,Sports & Outdoors,bronze
2416da6e-c212-4ddb-8d88-00160eb686b2,32,Female,AU,New Tammyfort,2025-03-03,very_high,Automotive,bronze
eb819333-b501-4c18-8c53-c786ed62c2f9,18,Male,US,Hullport,2025-03-12,medium,Books,bronze
71445abc-2f0d-4ac2-8097-acb7a3823bc9,58,Female,US,Howardborough,2025-09-21,low,Beauty & Personal Care,bronze
13d16283-160e-4c20-aebd-f9d6297e4c73,38,Female,US,West Donald,2024-07-11,medium,Electronics,bronze
29101780-8b9e-4c5e-af92-bb2e667840ed,37,Female,GB,New Tonyside,2025-06-26,medium,Home & Kitchen,silver
06ce14c8-3158-44a4-b6a0-04674d81a0d2,39,Male,US,West Corey,2024-10-05,medium,Electronics,bronze
233ea18b-ca97-4371-ba51-51731e512c3a,43,Male,DE,Tirschenreuth,2026-03-17,high,Office Products,bronze
22389617-c344-498d-afbf-4ce3e3535610,47,Female,US,Thomasville,2024-07-17,medium,Sports & Outdoors,silver
6efab8db-f0a2-4fd3-acb9-d94610c2b4a1,19,Male,GB,Tracymouth,2025-05-30,high,Automotive,bronze
f5734c2a-c309-42c2-9f79-55b3be36c25a,50,Female,US,New Thomas,2023-03-02,medium,Clothing & Accessories,platinum
89346311-6daa-4ff8-bc93-1872f795a3e4,50,Male,GB,Benjaminside,2025-04-02,low,Home & Kitchen,bronze
b0198cad-0f24-44c7-90c5-88c2a4d7d331,35,Male,ES,Ávila,2025-10-22,medium,Books,bronze
17f2285d-1707-4b77-b944-6f7f3db9360b,35,Female,US,Pagetown,2025-12-19,medium,Electronics,bronze
a0faeb8b-2284-4f27-abe2-4dbed34bdcae,18,Female,IN,Thoothukudi,2026-02-01,high,Sports & Outdoors,silver
d4c82aec-8ebb-48be-8b4b-dc5dc3b7aef7,22,Male,GB,Lake Victor,2025-01-07,high,Automotive,silver
227d2d69-694a-4953-a231-d1e78172d65e,42,Female,US,East Sallybury,2025-04-07,medium,Sports & Outdoors,bronze
1f3a8b13-45cf-4478-90ae-b1cbea318130,49,Female,US,Port Tammy,2024-05-31,very_high,Sports & Outdoors,bronze
f6458376-2889-4221-b909-bdaf4cccc779,44,Female,US,Davismouth,2026-04-17,medium,Home & Kitchen,bronze
35bf8754-29bb-463a-a710-839011ee78ab,35,Male,JP,横浜市緑区,2025-05-26,very_high,Home & Kitchen,bronze
7ae6b7f0-2a30-496f-81dc-2229f4652ad5,57,Female,US,Rodriguezside,2024-03-13,low,Beauty & Personal Care,bronze
b73b38a1-df92-44b3-bfd8-e3189d42f74f,47,Female,KR,김포시,2026-02-15,high,Electronics,platinum
356b91c4-74fa-4ed5-8a5c-6a6f740905ce,32,Female,IN,Motihari,2025-05-31,medium,Clothing & Accessories,bronze
4a1e79d7-75c8-4163-9612-e9e5e0decf49,60,Female,GB,Sheilaborough,2025-07-20,medium,Home & Kitchen,bronze
b1a8533d-7d06-48ae-b1d2-02a39ad1c623,24,Female,MX,San Esperanza de la Montaña,2023-09-12,high,Home & Kitchen,bronze
453c2ed5-172f-4d33-87de-0dce637ee201,20,Male,US,Stewartbury,2023-03-05,medium,Clothing & Accessories,bronze
31e0fdcb-41e0-43c9-bbf4-c5c76daa33aa,31,Male,JP,安房郡鋸南町,2025-04-08,medium,Sports & Outdoors,bronze
d79fb878-dfb7-45b4-9d71-f14697dbddc7,28,Male,US,East Lori,2023-11-13,high,Electronics,bronze
15e13e8e-1781-4b75-8969-6f81e4059991,32,Female,DE,Schrobenhausen,2025-07-24,low,Home & Kitchen,bronze
db058a09-6fbc-4923-8eda-d73ec8d7511d,45,Female,US,Thomasland,2025-04-25,medium,Sports & Outdoors,silver
e6838a70-dd74-4cab-97a6-88a7cec29978,36,Female,NL,Eersel,2024-06-10,high,Electronics,silver
fc85e6da-3f50-4390-b347-461412f7d6c3,36,Female,US,North Megan,2024-10-20,medium,Sports & Outdoors,bronze
c7061993-5ae6-4ca2-a74e-bc902d61b78d,37,Female,DE,Vohenstrauß,2025-12-15,low,Beauty & Personal Care,bronze
7b5c2f17-5333-488f-aa64-7fcb72accf4d,18,Female,CH,Thônex,2025-07-15,low,Grocery & Gourmet,bronze
6e9b539a-77ad-4307-acb5-f558f8b5cc6f,19,Male,US,Port Jason,2024-05-21,medium,Clothing & Accessories,bronze
4ebe94fb-6705-4f36-96df-cb464c559568,32,Female,AE,Rileymouth,2025-01-03,high,Home & Kitchen,bronze
81551ffe-b19f-48da-9da3-e1084975e33b,27,Male,CA,Kellerstad,2024-11-10,medium,Beauty & Personal Care,bronze
ba4159d2-b0ed-4c0e-bb3e-0ddb55c60848,33,Male,IT,Villatora,2023-05-02,low,Clothing & Accessories,bronze
0540ebea-e3f5-484b-9c62-2f6f575c73a9,51,Female,CA,Chloefort,2024-07-20,medium,Clothing & Accessories,bronze
2cef5320-bda8-498e-8db2-4881938dadc8,35,Female,ES,Cantabria,2023-09-05,low,Grocery & Gourmet,bronze
bcdc00ff-c173-40aa-9371-c06827f80868,21,Male,NO,North Jessica,2023-11-16,very_high,Automotive,silver
2758ff6a-d2a3-43d0-ba31-3b52bebcbe2a,27,Female,GB,Lake Geraldstad,2024-06-24,high,Office Products,silver
bd1f9455-5b75-4005-8a29-2c1b69600d17,55,Female,BR,Farias,2026-05-27,low,Home & Kitchen,gold
