session_id,user_id,start_time,device_type,referrer_source,is_converted
6d553c2d-fe1e-4406-9e32-cd258df05830,0000780a-2126-4e84-9622-42ce0ea9b17a,2023-01-16 12:57:18.000000115,desktop,organic_search,False
7330ad09-21cd-4849-b1c8-528d72f7d23b,0000780a-2126-4e84-9622-42ce0ea9b17a,2023-01-18 09:20:23.000000548,desktop,display_ad,False
6f6dce62-c078-4dfd-b39b-33068358bc0a,000aea63-23ad-42ab-98b8-3de2e33c624c,2024-10-17 02:05:24.000000257,desktop,direct,False
d3a0ecd7-69c3-431e-bab2-89946ce644c1,000b86cc-387b-4968-aaa5-7152296985d2,2026-02-11 03:24:48.000000440,mobile,direct,False
1539d203-2ced-4a39-b32c-79caf3b0db72,000b86cc-387b-4968-aaa5-7152296985d2,2026-02-12 16:41:52.000000696,mobile,organic_search,False
9c97ef16-584a-4d3c-a23d-51a619dabaa4,000b86cc-387b-4968-aaa5-7152296985d2,2026-02-17 20:37:39.000000431,desktop,social_media,True
7a1abf37-0cb4-4225-a599-2770967fadec,0015db27-c5fe-4846-ab49-599a3384d90d,2026-02-04 07:51:58.000000369,mobile,direct,False
0cb91313-f1f0-4f15-83d6-ef59fbda1438,001f3a0f-80f7-433e-86cd-9027ce848f27,2025-01-23 12:00:27.000000279,tablet,direct,False
e737116a-48e7-4012-8142-1dd87cd3900e,004c385b-f83f-46e2-8523-694304a93d76,2023-07-14 06:01:55.000000050,tablet,direct,False
fbcdb8eb-dd12-46a6-aff6-dec7c23e1741,004c385b-f83f-46e2-8523-694304a93d76,2023-07-23 20:28:57.000000582,desktop,organic_search,False
78a45866-ffd8-43db-a5d7-5f982c1dae07,00605285-a4a0-4199-8563-cca484107763,2024-03-08 00:47:06.000000021,mobile,organic_search,False
1dd0c2cb-517e-47a3-abbb-8a183cc0dc26,00605285-a4a0-4199-8563-cca484107763,2024-03-08 04:50:44.000000063,mobile,email,False
9aec78e3-e145-4092-b686-1494285aa461,007b793d-696d-431a-bbcd-ea8408c9a1ed,2023-02-06 15:23:29.000000888,desktop,social_media,False
8a4c3d1a-db01-433b-bd48-7ad8c59b82f7,007b793d-696d-431a-bbcd-ea8408c9a1ed,2023-02-22 10:21:44.000000532,mobile,social_media,False
b59ab729-d7f5-4d10-801c-9b20bf72ace7,007e5e78-dff8-449a-8f0a-f59185cad907,2024-08-12 21:02:34.000000803,mobile,organic_search,True
6547c831-c2d9-448f-b54c-9164910fff21,00922246-25f1-4564-92c3-2a314a9c6226,2023-07-03 17:02:31.000000888,desktop,direct,False
84d42cde-028b-4312-83dc-7cdb126092cc,00922246-25f1-4564-92c3-2a314a9c6226,2023-07-07 20:18:33.000000541,mobile,social_media,True
0d24cbe3-6506-443f-ae77-c1baa32324b6,00922246-25f1-4564-92c3-2a314a9c6226,2023-07-09 22:07:57.000000143,mobile,direct,False
a96af5e7-8bb9-4f81-954e-138cb3afe827,0094df58-edfe-4ecf-b214-94180bb4116e,2023-05-31 08:37:52.000000405,mobile,organic_search,False
3bf582b2-23bb-4515-9822-ae65b5faa2e1,0094df58-edfe-4ecf-b214-94180bb4116e,2023-06-06 21:21:14.000000817,mobile,display_ad,True
1b8ff75b-1ea1-4eef-bcf9-5b0beb724a14,0094df58-edfe-4ecf-b214-94180bb4116e,2023-06-21 10:53:54.000000080,mobile,display_ad,True
d073d5be-7f08-409d-ba89-aac0b87e96dd,0094df58-edfe-4ecf-b214-94180bb4116e,2023-07-01 21:39:46.000000483,mobile,social_media,False
1e44f3ad-f39a-4ec5-b8c9-2e198ea445e9,0094df58-edfe-4ecf-b214-94180bb4116e,2023-07-04 14:34:43.000000495,mobile,paid_search,False
66d4111c-c578-4e75-8a9a-4da2c7fa3ce0,009c99d4-5b5d-4a65-8f05-210ee8ca458c,2024-11-03 19:47:02.000000949,mobile,organic_search,False
3418d07a-e4bf-4422-b193-3862aff60fad,009c99d4-5b5d-4a65-8f05-210ee8ca458c,2024-11-07 11:31:23.000000248,desktop,paid_search,False
b3ded6ce-921b-4b78-accc-6e39e7e871e1,009c99d4-5b5d-4a65-8f05-210ee8ca458c,2024-11-12 03:57:38.000000861,desktop,organic_search,False
3f64087b-4cea-4073-b8a6-44f7b8e3b0bc,009dd6c6-a577-4e67-86e3-282903230157,2025-01-16 07:30:17.000000312,mobile,social_media,True
622ba5d7-7d1b-43d2-8e6d-f39735fcf7c8,009dd6c6-a577-4e67-86e3-282903230157,2025-01-18 17:08:14.000000560,mobile,organic_search,False
590ccc4b-8625-4206-acde-3c62dfdf319c,009dd6c6-a577-4e67-86e3-282903230157,2025-02-20 21:47:39.000000679,mobile,direct,False
ecb87543-c5ff-4cff-859f-6d5036cf22d1,009dd6c6-a577-4e67-86e3-282903230157,2025-02-20 22:45:18.000000679,desktop,paid_search,True
58d61a7b-84b2-4298-b9a2-b00473a5e1ca,009dd6c6-a577-4e67-86e3-282903230157,2025-02-21 02:26:14.000000711,desktop,organic_search,False
054cf943-c52b-4324-b914-f3f78b653a02,009dd6c6-a577-4e67-86e3-282903230157,2025-02-21 12:39:36.000000059,mobile,direct,False
67a3f7ab-4942-4f77-a0c9-df142b11f3f6,009dd6c6-a577-4e67-86e3-282903230157,2025-02-27 19:42:07.000000325,tablet,social_media,False
44046a74-7a34-48cc-ab61-63007a25f7b4,00a1185d-1d9d-4340-a6a7-0c61a7eef19a,2025-08-09 12:55:11.000000961,mobile,email,False
ec188d01-dacd-4218-bb4c-d9f1474ed9c0,00a1185d-1d9d-4340-a6a7-0c61a7eef19a,2025-08-11 10:42:13.000000483,mobile,direct,False
b8febfd2-c593-4cb5-96c7-69557691a27d,00a1185d-1d9d-4340-a6a7-0c61a7eef19a,2025-08-17 14:57:51.000000081,desktop,organic_search,False
e0447ac9-d20c-41fc-9079-4cc21ed023b5,00a44b47-ed18-48c2-8897-247a666b2cf8,2024-02-25 07:35:09.000000723,mobile,referral,False
6f2ccf93-430c-4004-9262-2a484984c040,00a44b47-ed18-48c2-8897-247a666b2cf8,2024-02-27 06:28:44.000000485,mobile,organic_search,False
2aef4d3f-70ae-4459-ac19-5de0128d293a,00a81f84-a503-40cd-9c4d-0e8832a7fcd4,2024-08-06 21:57:10.000000085,tablet,organic_search,False
102c18a8-9387-42eb-90da-6e27beb4bdf5,00a81f84-a503-40cd-9c4d-0e8832a7fcd4,2024-08-07 12:16:06.000000260,mobile,organic_search,False
5e74c012-f579-4735-8432-e6be4c392428,00a81f84-a503-40cd-9c4d-0e8832a7fcd4,2024-08-07 21:50:07.000000578,mobile,organic_search,False
b1686e4a-37ba-495d-aba1-005ba478698d,00a81f84-a503-40cd-9c4d-0e8832a7fcd4,2024-08-20 22:39:01.000000722,mobile,organic_search,False
249d31c6-0d4a-4032-a01d-6874cbe2d1e0,00afe4ef-c8da-4709-b5e7-3d396e78e39b,2024-03-24 19:23:15.000000515,mobile,paid_search,False
f9af6715-5fc0-41d0-93ef-9f68b81fc2e6,00afe4ef-c8da-4709-b5e7-3d396e78e39b,2024-03-25 17:19:42.000000156,mobile,direct,False
690a8554-577c-4b6b-8194-f405ab8a5c7b,00afe4ef-c8da-4709-b5e7-3d396e78e39b,2024-03-28 12:58:13.000000293,mobile,social_media,False
3686ff92-5ae6-4c3f-ad9b-7a9d44c984d9,00afe4ef-c8da-4709-b5e7-3d396e78e39b,2024-04-04 06:57:24.000000227,mobile,referral,False
35d5768a-6739-45f2-b78e-888d4ac1eca4,00afe4ef-c8da-4709-b5e7-3d396e78e39b,2024-04-05 21:44:39.000000318,mobile,organic_search,False
b47e435f-ac6e-4bd5-b52d-1fcf59facb5d,00afe4ef-c8da-4709-b5e7-3d396e78e39b,2024-04-12 22:52:58.000000539,mobile,organic_search,False
f3d113c8-6919-46d1-ba89-e9a0b93d8cdd,00b132c6-78c4-4c2c-982f-387f7516c0f1,2025-02-18 18:11:06.000000530,desktop,direct,True
26fa871b-d200-4406-9c8f-0b3f7ac89b0d,00be33ef-b050-4ac3-8f72-f509a73356c5,2025-07-30 09:14:44.000000448,mobile,social_media,False
